Rating,Title,Review
5,Wonderful,"I got this for 28 K, i saw many brands but finally i decided to buy samsung because the samsung drum size is little bigger than other brands and i got a really good one with good price
This machine wash cloths very nicely with less sound
I suggest please go for this and buy without any doubt"
5,Perfect product!,"Excellent,never expected.And its looking very glamorous.And it's the new version with new MFG On August 2023."
5,Awesome,This is very good washing machine and value for money and it makes very less noice and its drum is very big and consumes very less water and electricity so dont waste your time for searching washing go for it
5,Just wow!,"First time using a Samsung Home appliance
The experience is very good .
Received a call from Samsung service centre within 2 hrs of delivery . The technician assigned was very skilled and understanding . Thumbs up to Samsung for the fast installation and demo .
Coming to the washing machine :
1. Very silent .
2. Uses very little water .
3. Best for people who don't want complicated modes , Very simple usable modes .
4. Soak mode is very good ( recommended to use always) .
First time ordering a Big Home appliance from Flipkart. The delivery guys were very good ...

Suggestion : For users upgrading from an old washing machine to a new one ... Please take help from a plumber by installing a washing machine tap or a angular valve before the installation of the washing machine ."
3,Does the job,Touch panels are not visible.. also one touch option is not working properly
5,Classy product,"After lot of confusion which brand to bought , i choosen samsung 8kg machine this model. First of all , look wise good and low noise and power rating as 5 star are advantage. Further it has user friendly. if you wants to buy 8kg machine with in 30k you could choose this one. Budget is not a pbm you can choose bosch ifb.Because Bosch and ifb brands are the best for washing machine."
5,Best in the market!,Nice person on installation. Appreciated A+++++
4,Good quality product,"Everything is good about the machine, but installation and demo is a big zero, if bought from Flipkart.
I have raised a concern with Flipkart regarding this, but no action was taken.
I would request Flipkart to have a better installation support team."
5,Classy product,Nice make
4,Nice product,"This is Completely My After 4 Months Of Using Review .
1) The First Thing Is The Product Quality is Very Good And Heavy Weight
2) The Second Thing Is The Product Washing Quality Is Fantastic And Fine I Personally Love That Washing Quality
3) The Third Thing Is The Product Noise Levels Are Slightly Low And Minimal
4) The Fourth Thing Is Maintenance This Product Is Generally Having No Maintenance But Yearly 3 Times Drum Cleaning Cause Drum Grem Free And Smell Free
5) And The Last Thing Is My Rating On This Product 4⭐ OUT OF 5 STAR THANKS YOU FLIPKART FOR GIVING BEST QUALITY WASHING MACHINE 👍🏿"
4,Delightful,"I am writing this review after using 2 months of Samsung 7kg front load machine
1.washing quality superb.
2.no any sound or vibration during washing cycle.
3. Smooth and silent operation.
4.suitable for couple or couple with 2 children."
5,Brilliant Product,"Amazing product form Samsung, first I was looking in the local stores they all overpriced up to 32k, finally I got this product in Flipkart for 24K with so many offers and with best exchange rate.

Thank you flipkart and team."
5,Best in the market!,Absolutely love this product.. Thank you Samsung.. Best Product at this price.. 👌👌
